timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
4389,-0.024292,-0.007690,1.004272,-0.671387,0.061035,-0.122070
4409,-0.024414,-0.008667,1.005005,-0.671387,0.000000,-0.183105
4429,-0.023682,-0.006592,1.005249,-0.671387,0.000000,-0.183105
4449,-0.023560,-0.008057,1.006348,-0.732422,0.122070,-0.061035
4469,-0.025391,-0.008301,1.005493,-0.732422,0.122070,-0.122070
4489,-0.024048,-0.008545,1.004883,-0.671387,-0.061035,-0.122070
4509,-0.024048,-0.008667,1.005249,-0.671387,0.000000,-0.122070
4529,-0.024292,-0.008301,1.005371,-0.732422,0.061035,-0.061035
4549,-0.024414,-0.008301,1.005859,-0.671387,0.061035,-0.122070
4569,-0.023560,-0.008423,1.005615,-0.671387,0.000000,-0.183105
4589,-0.024048,-0.009033,1.005371,-0.610352,0.061035,-0.244141
4609,-0.022827,-0.009033,1.005493,-0.671387,0.061035,-0.183105
4629,-0.023437,-0.009033,1.004761,-0.671387,0.000000,-0.183105
4649,-0.026367,-0.009399,1.005981,-0.671387,0.000000,-0.122070
4669,-0.023437,-0.009155,1.005493,-0.671387,0.061035,-0.122070
4689,-0.024048,-0.009033,1.006104,-0.732422,0.061035,-0.061035
4709,-0.023804,-0.007568,1.006104,-0.671387,0.122070,-0.183105
4729,-0.024170,-0.008789,1.005371,-0.671387,0.000000,-0.183105
4749,-0.024170,-0.007935,1.005005,-0.732422,0.061035,-0.122070
4769,-0.024658,-0.008423,1.004272,-0.732422,0.061035,-0.183105
4789,-0.025146,-0.009033,1.003906,-0.671387,0.000000,-0.183105
4809,-0.023682,-0.007080,1.005005,-0.732422,0.000000,-0.122070
4829,-0.024292,-0.007324,1.005737,-0.732422,0.061035,-0.183105
4849,-0.023071,-0.008057,1.005615,-0.732422,0.061035,-0.183105
4869,-0.022827,-0.007080,1.006958,-0.732422,0.061035,-0.183105
4889,-0.024048,-0.007568,1.005371,-0.732422,0.000000,-0.122070
4909,-0.024780,-0.008545,1.005981,-0.671387,0.000000,-0.122070
4929,-0.023315,-0.008179,1.005249,-0.671387,0.000000,-0.122070
4949,-0.023437,-0.008057,1.004272,-0.671387,0.061035,-0.122070
4969,-0.022949,-0.009155,1.005249,-0.610352,0.000000,-0.183105
4989,-0.022217,-0.007568,1.005249,-0.732422,0.000000,-0.122070
5009,-0.023560,-0.009399,1.004761,-0.732422,0.000000,-0.122070
5029,-0.023193,-0.009155,1.005859,-0.732422,0.000000,-0.183105
5049,-0.023437,-0.007813,1.005127,-0.671387,0.000000,-0.122070
5069,-0.023804,-0.009155,1.005371,-0.671387,0.000000,-0.061035
5089,-0.023926,-0.007568,1.006470,-0.671387,0.061035,-0.061035
5109,-0.023193,-0.009277,1.004639,-0.671387,0.122070,-0.122070
5129,-0.024048,-0.007690,1.004272,-0.732422,0.061035,-0.183105
5149,-0.024048,-0.008179,1.004395,-0.671387,0.000000,-0.122070
5169,-0.022827,-0.008911,1.005249,-0.671387,0.000000,-0.183105
5189,-0.024048,-0.008789,1.005615,-0.732422,0.061035,-0.122070
5209,-0.024414,-0.007813,1.006348,-0.732422,0.061035,-0.122070
5229,-0.023682,-0.007446,1.004883,-0.671387,0.000000,-0.183105
5249,-0.024048,-0.008545,1.005737,-0.671387,-0.061035,-0.183105
5269,-0.023560,-0.008667,1.006348,-0.671387,0.000000,-0.061035
5289,-0.023560,-0.007080,1.004639,-0.610352,0.061035,-0.183105
